rank	gene	y_prob_max	p95_flag	bestF1_flag	clinvar_plp_flag	tier	P95_thr	BestF1_thr
0	INSR	0.999643	1	1	1	T1	0.150044	0.424311
1	MATK	0.999634	1	1	0	T1	0.150044	0.424311
2	PIEZO2	0.999614	1	1	1	T1	0.150044	0.424311
3	MYOM1	0.999593	1	1	0	T1	0.150044	0.424311
4	MTCL1	0.999584	1	1	0	T1	0.150044	0.424311
5	GMIP	0.999583	1	1	0	T1	0.150044	0.424311
6	KRT10	0.999583	1	1	0	T1	0.150044	0.424311
7	RIMS4	0.999580	1	1	0	T1	0.150044	0.424311
8	SHANK3	0.999580	1	1	1	T1	0.150044	0.424311
9	ATP13A1	0.999579	1	1	0	T1	0.150044	0.424311
10	CLIP3	0.999579	1	1	0	T1	0.150044	0.424311
11	STK4	0.999578	1	1	0	T1	0.150044	0.424311
12	DOCK6	0.999577	1	1	1	T1	0.150044	0.424311
13	MRPL4	0.999577	1	1	0	T1	0.150044	0.424311
14	TBXA2R	0.999577	1	1	0	T1	0.150044	0.424311
15	PSMC4	0.999576	1	1	0	T1	0.150044	0.424311
16	TJP3	0.999573	1	1	0	T1	0.150044	0.424311
17	PTPRS	0.999568	1	1	0	T1	0.150044	0.424311
18	SMCHD1	0.999568	1	1	1	T1	0.150044	0.424311
19	MOB3A	0.999567	1	1	0	T1	0.150044	0.424311
20	NPHS1	0.999567	1	1	0	T1	0.150044	0.424311
21	ANO8	0.999565	1	1	0	T1	0.150044	0.424311
22	LAMA5	0.999565	1	1	1	T1	0.150044	0.424311
23	PRKCG	0.999563	1	1	0	T1	0.150044	0.424311
24	ANKRD12	0.999562	1	1	0	T1	0.150044	0.424311
25	UBXN6	0.999562	1	1	0	T1	0.150044	0.424311
26	ARHGAP28	0.999561	1	1	0	T1	0.150044	0.424311
27	FUZ	0.999561	1	1	0	T1	0.150044	0.424311
28	RANBP3	0.999561	1	1	0	T1	0.150044	0.424311
29	C3	0.999559	1	1	1	T1	0.150044	0.424311
30	OAZ1	0.999559	1	1	0	T1	0.150044	0.424311
31	SBNO2	0.999559	1	1	0	T1	0.150044	0.424311
32	PLTP	0.999558	1	1	0	T1	0.150044	0.424311
33	FSD1	0.999557	1	1	0	T1	0.150044	0.424311
34	SGTA	0.999557	1	1	0	T1	0.150044	0.424311
35	SAFB	0.999555	1	1	0	T1	0.150044	0.424311
36	ENSG00000267001	0.999554	1	1	0	T1	0.150044	0.424311
37	SLC39A3	0.999554	1	1	0	T1	0.150044	0.424311
38	TCF3	0.999554	1	1	1	T1	0.150044	0.424311
39	PTPN2	0.999553	1	1	0	T1	0.150044	0.424311
40	VAV1	0.999553	1	1	0	T1	0.150044	0.424311
41	CEP192	0.999551	1	1	0	T1	0.150044	0.424311
42	TRIM28	0.999550	1	1	0	T1	0.150044	0.424311
43	ERCC2	0.999546	1	1	0	T1	0.150044	0.424311
44	JAK3	0.999546	1	1	0	T1	0.150044	0.424311
45	SYMPK	0.999546	1	1	0	T1	0.150044	0.424311
46	SPTBN4	0.999545	1	1	0	T1	0.150044	0.424311
47	TGIF1	0.999545	1	1	0	T1	0.150044	0.424311
48	YES1	0.999545	1	1	0	T1	0.150044	0.424311
49	RNMT	0.999544	1	1	0	T1	0.150044	0.424311
50	CACTIN	0.999543	1	1	0	T1	0.150044	0.424311
51	PTPRM	0.999542	1	1	0	T1	0.150044	0.424311
52	SIRT6	0.999542	1	1	0	T1	0.150044	0.424311
53	UPF1	0.999542	1	1	0	T1	0.150044	0.424311
54	DPP9	0.999540	1	1	1	T1	0.150044	0.424311
55	KHSRP	0.999540	1	1	0	T1	0.150044	0.424311
56	SLC25A23	0.999540	1	1	0	T1	0.150044	0.424311
57	LONP1	0.999539	1	1	1	T1	0.150044	0.424311
58	RIPK4	0.999539	1	1	0	T1	0.150044	0.424311
59	TLK2	0.999539	1	1	0	T1	0.150044	0.424311
60	TRIP10	0.999539	1	1	0	T1	0.150044	0.424311
61	ACSBG2	0.999538	1	1	0	T1	0.150044	0.424311
62	AFG3L2	0.999538	1	1	1	T1	0.150044	0.424311
63	ALOXE3	0.999538	1	1	0	T1	0.150044	0.424311
64	LPIN2	0.999537	1	1	1	T1	0.150044	0.424311
65	BRD1	0.999536	1	1	0	T1	0.150044	0.424311
66	CABIN1	0.999536	1	1	0	T1	0.150044	0.424311
67	CRNKL1	0.999536	1	1	0	T1	0.150044	0.424311
68	EIF4ENIF1	0.999536	1	1	0	T1	0.150044	0.424311
69	ETHE1	0.999536	1	1	0	T1	0.150044	0.424311
70	HCK	0.999536	1	1	0	T1	0.150044	0.424311
71	OSBPL2	0.999536	1	1	1	T1	0.150044	0.424311
72	GREB1L	0.999535	1	1	1	T1	0.150044	0.424311
73	RBL1	0.999535	1	1	0	T1	0.150044	0.424311
74	RYR1	0.999535	1	1	0	T1	0.150044	0.424311
75	DOP1B	0.999534	1	1	0	T1	0.150044	0.424311
76	FARSA	0.999534	1	1	1	T1	0.150044	0.424311
77	LIMK2	0.999534	1	1	0	T1	0.150044	0.424311
78	PLD3	0.999534	1	1	0	T1	0.150044	0.424311
79	DGCR8	0.999533	1	1	0	T1	0.150044	0.424311
80	DYRK1A	0.999533	1	1	0	T1	0.150044	0.424311
81	ELMO2	0.999533	1	1	0	T1	0.150044	0.424311
82	HIRA	0.999533	1	1	0	T1	0.150044	0.424311
83	HNF4A	0.999533	1	1	0	T1	0.150044	0.424311
84	TP53	0.999533	1	1	0	T1	0.150044	0.424311
